Categoria: Todas as categorias

Semana,data science: (Todo o mundo)
2014-03-23,17
2014-03-30,18
2014-04-06,16
2014-04-13,16
2014-04-20,16
2014-04-27,16
2014-05-04,17
2014-05-11,15
2014-05-18,16
2014-05-25,14
2014-06-01,17
2014-06-08,16
2014-06-15,16
2014-06-22,18
2014-06-29,15
2014-07-06,15
2014-07-13,17
2014-07-20,16
2014-07-27,16
2014-08-03,16
2014-08-10,20
2014-08-17,21
2014-08-24,23
2014-08-31,25
2014-09-07,25
2014-09-14,23
2014-09-21,20
2014-09-28,21
2014-10-05,20
2014-10-12,22
2014-10-19,21
2014-10-26,23
2014-11-02,22
2014-11-09,23
2014-11-16,23
2014-11-23,20
2014-11-30,24
2014-12-07,22
2014-12-14,21
2014-12-21,15
2014-12-28,16
2015-01-04,24
2015-01-11,23
2015-01-18,23
2015-01-25,24
2015-02-01,24
2015-02-08,23
2015-02-15,23
2015-02-22,24
2015-03-01,23
2015-03-08,26
2015-03-15,22
2015-03-22,22
2015-03-29,24
2015-04-05,24
2015-04-12,25
2015-04-19,24
2015-04-26,26
2015-05-03,26
2015-05-10,25
2015-05-17,25
2015-05-24,22
2015-05-31,26
2015-06-07,26
2015-06-14,23
2015-06-21,25
2015-06-28,23
2015-07-05,24
2015-07-12,25
2015-07-19,25
2015-07-26,25
2015-08-02,28
2015-08-09,27
2015-08-16,30
2015-08-23,31
2015-08-30,34
2015-09-06,36
2015-09-13,34
2015-09-20,33
2015-09-27,34
2015-10-04,33
2015-10-11,31
2015-10-18,33
2015-10-25,31
2015-11-01,33
2015-11-08,30
2015-11-15,32
2015-11-22,27
2015-11-29,32
2015-12-06,30
2015-12-13,30
2015-12-20,24
2015-12-27,23
2016-01-03,31
2016-01-10,33
2016-01-17,34
2016-01-24,37
2016-01-31,33
2016-02-07,34
2016-02-14,33
2016-02-21,33
2016-02-28,34
2016-03-06,35
2016-03-13,34
2016-03-20,32
2016-03-27,32
2016-04-03,35
2016-04-10,34
2016-04-17,34
2016-04-24,34
2016-05-01,33
2016-05-08,39
2016-05-15,35
2016-05-22,34
2016-05-29,33
2016-06-05,34
2016-06-12,34
2016-06-19,35
2016-06-26,33
2016-07-03,31
2016-07-10,35
2016-07-17,35
2016-07-24,33
2016-07-31,34
2016-08-07,34
2016-08-14,32
2016-08-21,41
2016-08-28,44
2016-09-04,45
2016-09-11,47
2016-09-18,45
2016-09-25,42
2016-10-02,42
2016-10-09,45
2016-10-16,43
2016-10-23,43
2016-10-30,42
2016-11-06,43
2016-11-13,45
2016-11-20,39
2016-11-27,45
2016-12-04,44
2016-12-11,47
2016-12-18,39
2016-12-25,33
2017-01-01,43
2017-01-08,52
2017-01-15,52
2017-01-22,51
2017-01-29,56
2017-02-05,54
2017-02-12,51
2017-02-19,54
2017-02-26,58
2017-03-05,57
2017-03-12,55
2017-03-19,54
2017-03-26,55
2017-04-02,56
2017-04-09,52
2017-04-16,54
2017-04-23,56
2017-04-30,54
2017-05-07,57
2017-05-14,54
2017-05-21,58
2017-05-28,56
2017-06-04,55
2017-06-11,55
2017-06-18,53
2017-06-25,54
2017-07-02,50
2017-07-09,57
2017-07-16,54
2017-07-23,58
2017-07-30,57
2017-08-06,56
2017-08-13,61
2017-08-20,63
2017-08-27,63
2017-09-03,66
2017-09-10,69
2017-09-17,67
2017-09-24,69
2017-10-01,64
2017-10-08,68
2017-10-15,65
2017-10-22,71
2017-10-29,67
2017-11-05,71
2017-11-12,70
2017-11-19,59
2017-11-26,67
2017-12-03,68
2017-12-10,66
2017-12-17,59
2017-12-24,50
2017-12-31,65
2018-01-07,71
2018-01-14,73
2018-01-21,74
2018-01-28,77
2018-02-04,72
2018-02-11,71
2018-02-18,69
2018-02-25,76
2018-03-04,75
2018-03-11,74
2018-03-18,77
2018-03-25,72
2018-04-01,75
2018-04-08,74
2018-04-15,74
2018-04-22,73
2018-04-29,74
2018-05-06,73
2018-05-13,77
2018-05-20,79
2018-05-27,74
2018-06-03,77
2018-06-10,73
2018-06-17,70
2018-06-24,71
2018-07-01,69
2018-07-08,77
2018-07-15,77
2018-07-22,79
2018-07-29,82
2018-08-05,78
2018-08-12,76
2018-08-19,79
2018-08-26,86
2018-09-02,86
2018-09-09,87
2018-09-16,87
2018-09-23,85
2018-09-30,88
2018-10-07,89
2018-10-14,89
2018-10-21,88
2018-10-28,84
2018-11-04,86
2018-11-11,91
2018-11-18,80
2018-11-25,90
2018-12-02,86
2018-12-09,86
2018-12-16,78
2018-12-23,65
2018-12-30,75
2019-01-06,98
2019-01-13,95
2019-01-20,94
2019-01-27,100
2019-02-03,99
2019-02-10,99
2019-02-17,97
2019-02-24,97
2019-03-03,98
2019-03-10,96
2019-03-17,90
